City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Belmonte,BR,-15.8631,-38.8828,78.8,83,53,7.94,broken clouds
317,Oranjemund,NA,-28.55,16.4333,59.99,84,0,7.74,clear sky
318,Kenai,US,60.5544,-151.2583,33.48,75,100,8.75,overcast clouds
319,Brae,GB,60.3964,-1.353,53.51,91,100,21.47,overcast clouds
320,Cayenne,GF,4.9333,-52.3333,86.04,77,48,1.99,scattered clouds
321,Kerman,IR,30.2832,57.0788,49.86,27,0,4.61,clear sky
322,Ust-Ilimsk,RU,58.0006,102.6619,32.14,57,100,6.76,overcast clouds
323,Bilibino,RU,68.0546,166.4372,-13.22,89,99,3.33,overcast clouds
324,Antofagasta,CL,-23.65,-70.4,63.68,67,4,5.61,clear sky
325,Abong Mbang,CM,3.9833,13.1833,68.05,98,94,2.13,light rain
326,Egvekinot,RU,66.3167,-179.1667,-1.7,96,97,1.86,overcast clouds
327,Ahipara,NZ,-35.1667,173.1667,64.69,75,100,9.37,overcast clouds
328,Ilanskiy,RU,56.2358,96.065,34.25,71,100,7.85,overcast clouds
329,La Rochelle,FR,46.1667,-1.15,57.27,100,90,12.66,overcast clouds
330,Komsomolskiy,UZ,40.4272,71.7189,44.02,81,2,4.61,clear sky
331,Agua Verde,MX,22.9,-106.05,88.03,74,8,5.75,clear sky
332,Loubomo,CG,-4.1997,12.6739,74.21,91,99,2.08,overcast clouds
333,San Andres,CO,12.5847,-81.7006,83.79,67,100,3.33,overcast clouds
334,Ostrovnoy,RU,68.0531,39.5131,37.17,94,100,19.42,overcast clouds
335,Sesheke,ZM,-17.4759,24.2968,83.17,34,97,1.74,overcast clouds
336,Socorro,US,31.6546,-106.3033,77.09,14,0,7.63,clear sky
337,Naliya,IN,23.2667,68.8333,78.57,26,31,5.28,scattered clouds
338,Kota Belud,MY,6.351,116.4305,76.86,85,74,3.58,broken clouds
339,Cermik,TR,38.1361,39.4493,55.74,85,86,6.93,overcast clouds
340,Moron,AR,-34.6534,-58.6198,86.95,55,75,11.7,broken clouds
341,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,82,0,3.0,clear sky
342,Ketchikan,US,55.3422,-131.6461,40.24,96,100,4.97,light rain
343,Springbok,ZA,-29.6643,17.8865,55.65,67,0,3.02,clear sky
344,Nova Olinda Do Norte,BR,-3.8881,-59.0942,83.28,69,74,2.21,broken clouds
